id,x,y,z,w,offX,offY,offZ,offRotate,offScale,color,type
72,-3,5,-2,-2,0,0,0,0,-0.1,21,0
73,-4,6,-2,-2,0,0,0,0,-0.1,21,0
74,-3,6,-3,-2,0,0,0,0,-0.1,21,0
75,-4,7,-3,-2,0,0,0,0,-0.1,21,0
76,-3,7,-4,-2,0,0,0,0,-0.1,21,0
77,-2,6,-4,-2,0,0,0,0,-0.1,21,0
78,-2,5,-3,-2,0,0,0,0,-0.1,21,0
79,-4,8,-4,-3,0.2,0.12,-7.450581E-09,-80,0,5,0
80,-4,5,-1,-2,0.2,0,-0.4,120,0,3,0
81,-5,7,-2,-2,0.35,0,-0.25,220,0,4,0
82,-5,7,-2,-2,0.4,0,-0.15,80,0,3,0
83,0,5,-5,3,-0.04999999,-0.08,-0.15,80,0,1,0
84,-4,1,3,3,0.15,-0.08,-0.3,80,0,0,0
85,-4,2,2,3,-0.2,-0.08,0.15,30,0,0,0
86,5,4,-9,3,0.1,-0.08,-0.15,30,0,2,0
87,7,1,-8,3,0.15,-0.08,-0.05000001,0,0,2,0
88,2,-8,6,3,-0.35,-0.08,0.04999999,-150,0,10,0
89,2,-8,6,5,-0.09999999,-0.08,0.45,-150,0,14,0
90,5,-5,0,3,-0.09999999,-0.08,0.3,-150,0,16,0
91,5,-6,1,3,0.1,-0.08,-0.4500001,-150,0.1,18,0
92,8,-3,-5,3,0.1,-0.08,-0.25,-240,0.1,1,0
94,12,-11,-1,3,0,-0.09999999,0.1,40,0,20,0
95,12,-11,-1,4,0.3,-0.06,0.05000001,40,0,14,0
96,2,0,-2,3,-0.09999999,-0.06,-0.45,40,0.1,17,0
97,0,-5,5,3,-1.15,-0.06,-0.4,-100,0.1,0,0
98,15,-13,-2,3,-0.8500001,-0.06,-0.55,-60,0,21,0
