id,x,y,z,w,color,type
0,-3,3,0,1,2,0
1,-4,3,1,1,7,0
2,-2,3,-1,1,1,0
3,-4,4,0,0,6,0
4,-3,4,-1,-1,5,0
5,-1,3,-2,1,9,0
6,-2,4,-2,-2,4,0
7,-4,5,-1,-2,4,0
8,-5,6,-1,-2,2,0
9,-3,5,-2,-4,0,0
10,-4,7,-3,-4,2,0
11,-4,6,-2,-4,0,0
12,-3,6,-3,-4,4,0
13,-5,7,-2,-2,4,0
14,-2,5,-3,-4,2,0
15,-2,6,-4,-4,2,0
16,-3,7,-4,-4,0,0
17,-1,4,-3,-2,9,0
18,-5,8,-3,-2,9,0
19,-3,2,1,2,4,0
20,-2,2,0,2,4,0
21,-1,2,-1,2,3,0
22,-1,5,-4,-1,0,0
23,-1,6,-5,-1,4,0
24,-2,7,-5,-1,6,0
25,0,3,-3,1,7,0
26,0,4,-4,2,8,0
27,0,5,-5,2,3,0
28,0,2,-2,2,1,0
29,-4,2,2,2,4,0
30,-4,1,3,2,3,0
31,1,5,-6,2,9,0
32,2,6,-8,2,7,0
33,3,5,-8,2,9,0
34,4,5,-9,2,7,0
35,4,4,-8,2,3,0
36,5,4,-9,2,2,0
37,6,4,-10,2,7,0
38,1,4,-5,2,4,0
39,1,3,-4,2,4,0
40,1,2,-3,2,4,0
41,-4,8,-4,-3,4,0
42,2,4,-6,2,4,0
43,3,4,-7,2,9,0
44,2,3,-5,2,3,0
45,2,2,-4,2,3,0
46,7,3,-10,2,8,0
47,7,2,-9,2,4,0
48,7,1,-8,2,2,0
49,2,5,-7,2,1,0
50,3,3,-6,2,2,0
51,3,2,-5,2,4,0
52,4,3,-7,2,4,0
53,5,3,-8,2,4,0
54,6,3,-9,2,0,0
55,6,2,-8,2,2,0
56,7,0,-7,2,9,0
57,5,2,-7,2,0,0
58,4,2,-6,2,2,0
59,7,-1,-6,2,5,0
60,8,-2,-6,2,8,0
61,-4,0,4,5,7,0
62,-3,0,3,2,4,0
63,-3,-1,4,2,3,0
64,-3,-2,5,3,7,0
65,-2,-2,4,2,0,0
66,-3,1,2,2,1,0
67,-2,1,1,2,1,0
68,-2,0,2,2,1,0
69,6,1,-7,2,3,0
70,6,0,-6,2,3,0
71,6,-1,-5,2,4,0
72,5,1,-6,2,2,0
73,7,-2,-5,2,2,0
74,8,-3,-5,2,4,0
75,9,-3,-6,2,4,0
76,10,-4,-6,2,7,0
77,0,1,-1,2,4,0
78,-1,1,0,2,3,0
79,1,1,-2,2,4,0
80,-2,-3,5,4,9,0
81,10,-5,-5,4,9,0
82,9,-4,-5,2,3,0
83,-2,-1,3,2,3,0
84,-1,-3,4,2,3,0
85,-1,-4,5,2,4,0
86,2,1,-3,2,9,0
87,3,0,-3,2,9,0
88,3,1,-4,2,4,0
89,2,0,-2,2,6,0
90,1,0,-1,2,4,0
91,3,-1,-2,2,7,0
92,4,-1,-3,2,4,0
93,4,0,-4,2,4,0
94,4,-2,-2,2,8,0
95,5,-2,-3,2,7,0
96,5,-1,-4,2,0,0
97,5,0,-5,2,1,0
98,4,1,-5,2,0,0
99,11,-6,-5,2,0,0
100,12,-7,-5,2,3,0
101,12,-8,-4,2,6,0
102,13,-9,-4,2,9,0
103,0,-5,5,2,9,0
104,0,-6,6,2,4,0
105,1,-7,6,2,1,0
106,13,-10,-3,2,0,0
107,13,-11,-2,2,4,0
108,12,-10,-2,2,3,0
109,13,-12,-1,5,9,0
110,12,-12,0,4,9,0
111,1,-8,7,5,7,0
112,3,-2,-1,2,9,0
113,2,-2,0,2,9,0
114,2,-1,-1,2,4,0
115,0,0,0,2,1,0
116,1,-1,0,2,5,0
117,-1,0,1,2,5,0
118,0,-1,1,2,4,0
119,-1,-1,2,2,4,0
120,-1,-2,3,2,2,0
121,0,-4,4,2,2,0
122,1,-5,4,2,4,0
123,1,-6,5,2,0,0
124,11,-11,0,2,0,0
125,11,-12,1,2,1,0
126,12,-11,-1,2,4,0
127,10,-12,2,2,5,0
128,9,-12,3,5,9,0
129,2,-8,6,2,4,0
130,10,-11,1,2,4,0
131,9,-11,2,2,4,0
132,8,-11,3,2,7,0
133,7,-11,4,4,8,0
134,6,-10,4,1,6,0
135,5,-10,5,4,9,0
136,3,-8,5,2,2,0
137,5,-9,4,2,2,0
138,6,-9,3,2,0,0
139,7,-10,3,2,4,0
140,3,-9,6,2,5,0
141,4,-9,5,2,7,0
142,6,-2,-4,2,5,0
143,2,-3,1,2,5,0
144,0,-2,2,2,4,0
145,0,-3,3,2,4,0
146,1,-2,1,2,0,0
147,2,-7,5,2,3,0
148,4,-8,4,2,0,0
149,5,-8,3,2,3,0
150,8,-10,2,2,3,0
151,11,-10,-1,2,3,0
152,11,-8,-3,2,7,0
153,12,-9,-3,2,4,0
154,11,-7,-4,2,4,0
155,10,-6,-4,2,4,0
156,5,-3,-2,2,9,0
157,4,-3,-1,2,9,0
158,1,-3,2,2,2,0
159,1,-4,3,2,0,0
160,2,-6,4,2,2,0
161,5,-4,-1,2,7,0
162,3,-3,0,2,0,0
163,4,-4,0,2,7,0
164,2,-4,2,2,4,0
165,6,-3,-3,2,4,0
166,7,-3,-4,2,4,0
167,2,-5,3,2,4,0
168,3,-7,4,2,6,0
169,3,-4,1,2,6,0
170,6,-5,-1,2,9,0
171,6,-4,-2,2,9,0
172,8,-4,-4,2,2,0
173,7,-4,-3,2,3,0
174,9,-5,-4,2,4,0
175,9,-6,-3,2,1,0
176,10,-7,-3,2,1,0
177,11,-9,-2,2,1,0
178,10,-9,-1,2,3,0
179,10,-10,0,2,3,0
180,10,-8,-2,2,1,0
181,4,-7,3,2,3,0
182,3,-6,3,2,3,0
183,7,-5,-2,2,6,0
184,8,-5,-3,2,5,0
185,3,-5,2,2,5,0
186,4,-6,2,2,4,0
187,5,-7,2,2,1,0
188,6,-8,2,2,2,0
189,7,-9,2,2,2,0
190,9,-10,1,2,0,0
191,5,-5,0,2,8,0
192,4,-5,1,2,3,0
193,8,-6,-2,2,4,0
194,9,-7,-2,2,4,0
195,9,-8,-1,2,2,0
196,9,-9,0,2,2,0
197,8,-9,1,2,2,0
198,5,-6,1,2,5,0
199,6,-6,0,2,5,0
200,8,-7,-1,2,3,0
201,8,-8,0,2,3,0
202,7,-8,1,2,0,0
203,7,-7,0,2,6,0
204,7,-6,-1,2,3,0
205,6,-7,1,2,3,0
