id,x,y,z,w,color,type
0,-3,3,0,1,2,0
1,-2,4,-2,1,2,0
2,-3,4,-1,1,2,0
3,-3,5,-2,1,2,0
4,-4,5,-1,2,3,0
5,-4,4,0,2,3,0
6,-4,2,2,1,3,0
7,-4,6,-2,2,3,0
8,-2,5,-3,1,2,0
9,-3,6,-3,1,2,0
10,-2,6,-4,1,2,0
11,-5,2,3,1,4,0
12,-6,2,4,1,4,0
13,-6,1,5,1,4,0
14,-6,0,6,1,4,0
15,-6,-1,7,1,4,0
16,-5,-2,7,1,4,0
17,-4,-3,7,1,4,0
18,-3,-3,6,1,4,0
19,-2,-3,5,1,4,0
20,-1,-3,4,1,2,0
21,-5,3,2,2,4,0
22,-6,3,3,2,4,0
23,-7,3,4,2,4,0
24,-7,2,5,2,4,0
25,-7,1,6,2,4,0
26,-7,0,7,2,4,0
27,-6,-2,8,2,4,0
28,-7,-1,8,2,4,0
29,-5,-3,8,2,4,0
30,-4,-4,8,2,4,0
31,-3,-4,7,2,4,0
32,-1,-4,5,1,4,0
33,-2,-4,6,1,4,0
34,-1,-5,6,1,4,0
35,0,-6,6,1,4,0
36,-1,-6,7,1,4,0
37,-3,-5,8,2,4,0
38,-2,-6,8,2,4,0
39,-1,-7,8,2,4,0
40,0,-7,7,2,4,0
41,0,-4,4,0,2,0
42,1,-5,4,0,2,0
43,2,-7,5,1,3,0
44,2,-6,4,0,1,0
45,2,-8,6,1,3,0
46,3,-8,5,1,3,0
47,1,-8,7,2,4,0
48,2,-9,7,2,4,0
49,3,-9,6,2,4,0
50,0,-8,8,2,4,0
51,-5,1,4,-1,1,0
52,-5,0,5,-1,1,0
53,-4,-2,6,-1,1,0
54,-3,-2,5,-1,1,0
55,-2,-2,4,-1,1,0
56,-2,-1,3,-1,1,0
57,-3,0,3,-1,1,0
58,-3,-1,4,-1,1,0
59,-4,-1,5,-1,1,0
60,-4,0,4,-1,1,0
61,-4,1,3,-1,1,0
62,4,-6,2,0,0,0
63,3,-6,3,0,0,0
64,-1,-2,3,-2,0,0
65,0,-3,3,-2,2,0
66,2,-5,3,-2,4,0
67,0,-2,2,-2,4,0
68,-1,-1,2,-2,2,0
69,-2,0,2,-2,3,0
70,-3,1,2,-2,0,0
71,-3,2,1,-2,0,0
72,-2,1,1,-2,1,0
73,0,-1,1,-2,4,0
74,1,-2,1,-2,2,0
75,1,-3,2,-2,0,0
76,-2,2,0,-2,4,0
77,-1,2,-1,-2,2,0
78,0,1,-1,-3,2,0
79,-1,1,0,-3,0,0
80,-1,0,1,-3,0,0
81,0,0,0,-2,0,0
82,1,3,-4,-2,0,0
83,1,0,-1,-2,0,0
84,1,-1,0,-2,0,0
85,3,-5,2,-2,0,0
86,2,-4,2,-2,2,0
87,3,-4,1,-2,4,0
88,2,-3,1,-2,1,0
89,2,-2,0,-2,2,0
90,-4,3,1,1,4,0
91,-5,-1,6,1,1,0
92,3,-7,4,1,1,0
93,1,-6,5,1,4,0
94,0,-5,5,1,2,0
95,4,-7,3,1,2,0
96,4,-8,4,1,4,0
97,5,-7,2,1,2,0
98,5,-6,1,1,2,0
99,4,-5,1,0,2,0
100,6,-6,0,0,2,0
101,6,-7,1,1,0,0
102,6,-8,2,1,4,0
103,7,-6,-1,1,4,0
104,6,-5,-1,1,4,0
105,7,-7,0,1,0,0
106,4,-4,0,-2,4,0
107,4,-3,-1,-2,2,0
108,5,-5,0,-1,0,0
109,5,-4,-1,-1,2,0
110,2,5,-7,1,4,0
111,1,5,-6,1,2,0
112,2,2,-4,0,3,0
113,2,1,-3,1,0,0
114,4,0,-4,1,0,0
115,1,2,-3,1,2,0
116,-1,6,-5,1,4,0
117,0,6,-6,2,4,0
118,2,3,-5,-2,3,0
119,1,4,-5,-2,3,0
120,2,4,-6,2,3,0
121,4,1,-5,1,3,0
122,5,1,-6,-1,2,0
123,5,0,-5,0,0,0
124,5,-1,-4,3,0,0
125,4,-1,-3,4,0,0
126,3,0,-3,4,3,0
127,3,1,-4,3,3,0
128,3,-3,0,-1,0,0
129,4,-2,-2,0,4,0
130,3,2,-5,0,4,0
131,3,3,-6,-2,4,0
132,4,2,-6,-2,0,0
133,4,3,-7,-3,2,0
134,7,-1,-6,0,2,0
135,5,-2,-3,5,4,0
136,6,-2,-4,2,0,0
137,7,-2,-5,-1,4,0
138,5,-3,-2,2,1,0
139,2,-1,-1,-1,1,0
140,3,-1,-2,2,1,0
141,3,-2,-1,-1,1,0
142,1,1,-2,-1,0,0
143,2,0,-2,0,0,0
144,6,-4,-2,-1,4,0
145,6,-3,-3,-1,4,0
146,7,-3,-4,-2,0,0
147,3,4,-7,0,0,0
148,3,5,-8,0,3,0
149,4,4,-8,-3,3,0
150,4,5,-9,1,0,0
151,0,5,-5,0,0,0
152,0,3,-3,-2,4,0
153,0,2,-2,-2,1,0
154,-1,5,-4,-2,1,0
155,0,4,-4,-2,0,0
156,-2,3,-1,-2,0,0
157,-1,4,-3,-2,0,0
158,-1,3,-2,1,2,0
159,7,-5,-2,-2,0,0
160,7,-4,-3,-2,3,0
161,10,-7,-3,1,0,0
162,9,-6,-3,1,0,0
163,8,-7,-1,0,3,0
