id,x,y,z,w,color,type
0,0,0,0,0,0,1
1,1,-1,0,0,0,0
2,2,-2,0,0,1,0
3,3,-3,0,0,1,0
4,4,-4,0,0,2,0
5,5,-5,0,0,2,0
6,6,-6,0,0,3,0
7,6,-5,-1,0,3,0
8,7,-6,-1,0,3,0
9,7,-7,0,0,3,0
10,5,-6,1,0,3,0
11,6,-7,1,0,3,0
12,8,-8,0,0,4,0
13,9,-9,0,0,4,0
14,10,-10,0,0,4,0
15,11,-11,0,0,5,0
16,12,-12,0,0,5,0
17,13,-13,0,0,5,0
18,12,-13,1,0,5,0
19,11,-12,1,0,5,0
20,12,-11,-1,0,5,0
21,13,-12,-1,0,5,0
22,14,-14,0,0,6,0
23,15,-15,0,0,6,0
24,16,-16,0,0,7,0
25,17,-17,0,0,7,0
26,18,-18,0,0,7,0
28,20,-20,0,0,8,0
29,19,-20,1,0,8,0
30,18,-19,1,0,8,0
31,19,-18,-1,0,8,0
32,20,-19,-1,0,8,0
33,21,-21,0,0,9,0
34,22,-22,0,0,9,0
35,23,-23,0,0,7,0
36,24,-24,0,0,7,0
37,25,-25,0,0,7,0
38,19,-23,4,0,2,0
39,19,-22,3,0,2,0
40,18,-22,4,0,2,0
41,20,-23,3,0,2,0
42,20,-24,4,0,2,0
43,19,-24,5,0,2,0
44,18,-23,5,0,2,0
45,26,-26,0,0,10,0
46,27,-27,0,0,11,0
47,26,-27,1,0,10,0
48,27,-28,1,0,10,0
49,28,-28,0,0,10,0
50,28,-27,-1,0,10,0
51,27,-26,-1,0,10,0
52,29,-29,0,0,11,0
53,30,-30,0,0,11,0
54,31,-31,0,0,11,0
55,32,-32,0,0,16,0
