noteType,pivotType,pivotX,pivotY,pivotZ,direction,speed,bar,4th,8th,16th,3rd,6th,12th,24th
0,노트 타입이 0이면 주석임,,,,,,,,,,,,,
0,"피벗 타입은 world, player넘버, boss 등등이 있음",,,,,,,,,,,,,
0,,피벗 XYZ는 해당 피벗으로부터의 오프셋,,,,,,,,,,,,
0,,,,,,스피드는 1~4가 있는데 1에 가까울수록 노트 등장부터 실제 데미지까지 시간이 짧음,,,,,,,,
3,world,0,0,0,U,2,1,,1,,,,,
3,world,0,0,0,U,2,1,1,1,,,,,
3,world,0,0,0,U,2,1,2,1,,,,,
3,world,0,0,0,U,2,1,3,1,,,,,
3,world,0,0,0,U,2,2,,1,,,,,
4,world,0,0,0,U,2,2,1,1,,,,,
4,world,0,0,0,U,2,2,2,1,,,,,
4,world,0,0,0,U,2,2,3,1,,,,,
4,world,0,0,0,U,2,3,,1,,,,,
4,world,0,0,0,U,2,3,1,1,,,,,
4,world,0,0,0,U,2,3,2,1,,,,,
4,world,1,0,-1,U,2,3,3,1,,,,,
-1,world,2,-2,0,U,0,4,,1,,,,,
-1,world,1,1,-2,U,0,4,1,1,,,,,
-1,world,0,0,0,U,0,4,2,1,,,,,
-1,world,3,-2,-1,U,0,4,3,1,,,,,
