noteType,pivotType,pivotX,pivotY,pivotZ,direction,speed,bar,4th,8th,16th,3rd,6th,12th,24th
0,노트 타입이 0이면 주석임,,,,,,,,,,,,,
0,"피벗 타입 : World, Player123, PlayerM, Playerm, Boss",,,,,,,,,,,,,
0,,피벗 XYZ는 해당 피벗으로부터의 오프셋,,,,,,,,,,,,
0,,,,,,스피드는 1~4가 있는데 1에 가까울수록 노트 등장부터 실제 데미지까지 시간이 짧음,,,,,,,,
99,Player1,3,-3,0,U,2,1,,,12,,,,
99,Player2,0,-3,3,U,2,1,,,12,,,,
99,Player3,3,0,-3,U,2,1,,,12,,,,
99,Player1,2,-2,0,U,2,1,,,13,,,,
99,Player2,0,-2,2,U,2,1,,,13,,,,
99,Player3,2,0,-2,U,2,1,,,13,,,,
99,Player1,1,-1,0,U,2,1,,,14,,,,
99,Player2,0,-1,1,U,2,1,,,14,,,,
99,Player3,1,0,-1,U,2,1,,,14,,,,
99,Player1,0,0,0,U,2,1,,,15,,,,
99,Player2,0,0,0,U,2,1,,,15,,,,
99,Player3,0,0,0,U,2,1,,,15,,,,
99,Player1,3,-3,0,U,2,3,,,12,,,,
99,Player2,0,-3,3,U,2,3,,,12,,,,
99,Player3,3,0,-3,U,2,3,,,12,,,,
99,Player1,2,-2,0,U,2,3,,,13,,,,
99,Player2,0,-2,2,U,2,3,,,13,,,,
99,Player3,2,0,-2,U,2,3,,,13,,,,
99,Player1,1,-1,0,U,2,3,,,14,,,,
99,Player2,0,-1,1,U,2,3,,,14,,,,
99,Player3,1,0,-1,U,2,3,,,14,,,,
99,Player1,0,0,0,U,2,3,,,15,,,,
99,Player2,0,0,0,U,2,3,,,15,,,,
99,Player3,0,0,0,U,2,3,,,15,,,,
0,노래 시작,,,,,,,,,,,,,
99,Player1,0,0,0,U,3,4,1,,,,,,
99,Player1,0,0,0,U,3,4,3,,,,,,
99,Player1,0,0,0,U,3,5,1,,,,,,
99,Player1,0,0,0,U,3,5,3,,,,,,
99,Player2,0,0,0,U,3,6,1,,,,,,
99,Player2,0,0,0,U,3,6,3,,,,,,
99,Player2,0,0,0,U,3,7,1,,,,,,
99,Player2,0,0,0,U,3,7,3,,,,,,
