noteType,pivotType,pivotX,pivotY,pivotZ,direction,speed,bar,4th,8th,16th,3rd,6th,12th,24th
0,노트 타입이 0이면 주석임 (첫번째 줄은 무조건 주석으로 할 것),,,,,,,,,,,,,
0,"피벗 타입은 world, player넘버, boss 등등이 있음",,,,,,,,,,,,,
0,,피벗 XYZ는 해당 피벗으로부터의 오프셋,,,,,,,,,,,,
0,,,,,,스피드는 1~4가 있는데 1에 가까울수록 노트 등장부터 실제 데미지까지 시간이 짧음,,,,,,,,
1,world,0,0,0,U,2,1,,1,,,,,
1,world,0,0,0,U,2,,1,1,,,,,
1,world,0,0,0,U,2,,2,1,,,,,
1,world,0,0,0,U,2,,3,1,,,,,
1,world,0,0,0,U,2,2,,1,,,,,
1,world,0,0,0,U,2,,1,1,,,,,
1,world,0,0,0,U,2,,2,1,,,,,
1,world,0,0,0,U,2,,3,1,,,,,
1,world,0,0,0,U,2,3,,1,,,,,
1,world,0,0,0,U,2,,1,1,,,,,
1,world,0,0,0,U,2,,2,1,,,,,
1,world,0,0,0,U,2,,3,1,,,,,
1,world,0,0,0,U,2,4,,1,,,,,
1,world,0,0,0,U,2,,1,1,,,,,
1,world,0,0,0,U,2,,2,1,,,,,
1,world,0,0,0,U,2,,3,1,,,,,
